这个9岁女孩种了4年菜，建起11栋小木屋，让镇上无家可归的人有了归宿zt,我爱吃土豆片,2019/5/23,67/19376,你说这名拉风不拉风
终于知道为什么现在男生都不愿意谈恋爱了,111罗3,2019/5/22,523/134923,低调灬打板
凭条腿获4亿点击？李圣经让我一女的都沦陷了,LBLZT,2019/5/23,55/17499,一舉鯨濤快哉風
在闲鱼上被骗了,thu惊涛拍岸,2019/5/20,17/1330,boost2017
体型不大好看，体脂有点高，请大佬看看计划，指导一下,千古一相西蒙斯,2019/5/23,8/1896,帅气的欢欢
前两天被丑拒了意识到我可能会注孤生，JR们能帮我好好认清一下自我吗,伞兵荣耀,2019/5/23,30/1339,伞兵荣耀
阎炎：数学真正厉害的很少是中国人zt,进击的你爸,2019/5/22,95/13110,TronYao
你为什么至今不换掉苹果手机？,噼里啪啦趴,2019/5/22,851/144225,强肛迪丽热巴
小弟刚毕业正式工作前想开个网吧，有没有28大的JRS分享一下经验！！,黄阿玛在这,2019/5/22,17/818,mgjgkf
百度网盘这也太流氓了吧？！,我强任我强,2019/5/22,1929/312500,大泽酱
为中华崛起而读书应该成为我们这代人的目标了！,詹姆斯逆转局势,2019/5/23,8/433,山东工商大学
我这电脑二手能卖多少？,Mansire,2019/5/23,5/384,l性格如此l
老哥们帮我看一下到底是哪里出了问题吗？今天跟女朋友闹崩了,爱脸红的史莱克,2019/5/23,10/438,爱脸红的史莱克
现在的90后和00后已经脱节成这样了？,有私心的心理医生,2019/5/23,31/5874,帅气的林北
展昭不是此人对手被虐，危急关头包拯头上月牙发威zt,土豆不如茄子,2019/5/23,3/216,阿斯顿sa
有没有脱发的朋友讨论一下,sc2330,2019/5/23,8/162,sc2330
本科管理学跨考计算机有戏吗,虎扑好难混,2019/5/23,9/492,虎扑好难混
有老哥打球被撞伤过门牙的吗？,大杰哥here,2019/5/23,5/65,tianyiyouwei
感觉以后电子，芯片，集成电路的硬件企业热潮,Mana君,2019/5/23,89/10863,0B9W8V8
来说说高考结束后印象最深刻的事吧！,清朝奥尼尔,2019/5/22,100/9092,库里拉了一下裤子说
今天凌晨的诡异事情，我要不要相信她？！,07Boyce,2019/5/22,1189/254368,千古奇冤伦纳德
这设计师不知道怎么想的,gzy0422,2019/5/23,112/83672,v587晓
三威胁后抬起中轴脚，运球，这样走步吗？,你好心晴,2019/5/23,13/894,陈赫
年轻的时候一个月赚1万元都开心得不得了，现在一个月赚不到2万心慌慌。,虎扑型男大帅哥2019,2019/5/23,125/31982,瞌睡来流了
你见过CCTV5最美的主播是谁,边城河伯,2019/5/22,610/225689,沙爆水王
南京首家喜憨儿洗车中心开业：让孩子们学会独立谋生zt,保罗我科,2019/5/23,46/17832,h0us
海康割了,一剑封喉13,2019/5/23,22/3242,存在cz
“没办法”用你的家乡话怎么说呢？,儒雅随和的大师兄,2019/5/22,1718/78392,肖秀荣教授丨
理性讨论，陈雪凝到底是个什么等级的音乐人,文园刘德华,2019/5/23,1025/146829,树上有云丶
不懂就问，现在质量高的或者比较小众的论坛有哪些？,Kippe,2019/5/23,33/1478,威猛先生王老板
刚结束一个人在台湾10天自由行，和各位jrs分享历程，也想和大家交流一番,AI的OK绷,2019/5/23,146/16070,控球大湿兄
在外企工作，每天发邮件用汉语拼音，这样可以？,李连毛,2019/5/22,76/39802,Carraway
今天晚上操场搭讪的女孩可能明天就能约出来散步什么水平,蓉儿是我女神,2019/5/22,200/83336,冷血展扣
抖音刷到的女孩，这也太甜了吧！,樊战鸟很大,2019/5/23,41/7210,carter15333
历史上有哪些知名球星没拿过一阵，或者只有一次一阵的？,jiwei1124,2019/5/22,74/6164,安神在此
人变瘦了弹跳会增加吗,哈里哈气勺,2019/5/23,73/7190,哈里哈气勺
国内常见的中式英语jr们见过哪些？,我亦无双,2019/5/22,6/386,we丶不二
这种男朋友是不是该早点放生？？？？？,k神nc粉,2019/5/23,125/51754,皮蛋还是粥
伟大的虎扑，帮忙找人！！必有酬谢！,狗米共,2019/5/22,100/6822,卖血炒股
老哥们，打球后膝盖和脚裸疼，要买什么样的护具带...,老实憨厚的志ang,2019/5/21,95/19245,库里三分神
帮我看看这幅《孔明借东风》是不是真迹？,x0079,2019/5/22,36/4295,青柠欧巴
今天20岁的女jr！,兰州Elena,2019/5/8,646/149276,兰州Elena
准备协议离婚了，有老哥来聊聊吗,finish_it,2019/5/22,585/77767,老詹小媳妇
瑞性咖啡跌破发行价，这种模式是不是对实体最大的伤害,海王彩晖,2019/5/23,15/2517,死亡五废
"为1元钱掌掴公交司机女子当庭翻供结果""打脸""了",＂_Sunnyoung.,2019/5/22,159/32881,苗家米酒
女同事在办公室抽烟怎么办？？？,Rosso_Neri,2019/5/22,76/37392,唯爱大臭臭
相识八年，相爱六年，我们还是分手了，不知该怎样看待这段感情。,灵魂稻米,2019/5/23,39/5418,tony1444
除夕被渣分手，昨天晚上所谓的前任突然加回我微信。,康哥哈哈哈哈,2019/5/23,287/82055,花嗅香舞者
你中学时代最后一个同桌是怎样的人,壁花同学,2019/5/23,162/16530,0芝加哥3号0
2017届毕业的你，现在怎么样了？,盖世皇骑,2019/5/22,111/9456,不知名程序猿
前女友居然发了这个给我，我应该咋回复,Kevin甜瓜L,2019/5/22,197/82932,月儿bb
女朋友因为分别很痛苦所以要分手,大帝的荣光,2019/5/23,15/1245,S我在唱krrr
羡慕我们楼下超市的小姐姐,rng无敌1,2019/5/23,40/9282,熟悉的球星都退役了
在一个房价两万的城市，月薪8千，什么水平？,xcgs,2019/5/23,61/5283,弘燊
喜欢大半年，520鼓起勇气送了花，家人看看结果是否引起舒适。,andyguoyunqi,2019/5/23,51/8432,無線電視記者伍晃榮
一个普通三甲医院一天的水电费真的要几百万吗,啊张卫平后仰跳楼,2019/5/22,258/51878,嘟嘟1230
jr们年纪轻轻就痛风的千万别不当回事啊一定要自律,一个普通的中锋,2019/5/23,61/15610,独爱CF小斯斯
小学时觉得魔神坛斗士真好看，不亚于圣斗士的好看，光辉神很帅啊,卡卡西是鸣人的老师,2019/5/23,22/1323,ftfoo
《夏洛特烦恼》不仅是一部喜剧，也有歌曲动人的部分zt,天啦不撸了,2019/5/23,55/9956,霍铘雨
说说你所在城市最好的大学吧～,美职篮现役第一人,2019/5/22,509/32358,交界性期前收缩
8天违章4次12分…我不想开车了…,备胎的备胎,2019/5/22,622/159791,ledol24
